Datum;Uebung;Satz1;Wdh1;Satz2;Wdh2;Satz3;Wdh3
25-02-2025;Squats;45;8;45;6;45;5
25-02-2025;Hip Thrusts;45;8;45;6;45;5
25-02-2025;Beinstreck frei;25;8;30;6;30;6
25-02-2025;Beinbeug sitz;50;8;50;6;65;6
25-02-2025;Pulldown;18;10;21;8;21;7
25-02-2025;Curls;10;8;12;8;12;6
26-02-2025;LH Rudern;30;9;40;9;40;7
26-02-2025;Überzüge;15;8;25;7;25;6
26-02-2025;Brust Presse;30;9;35;8;35;6
26-02-2025;Butterfly;45;9;50;9;57;8
26-02-2025;Schulterdrücken;22;8;24;7;24;6
27-02-2025;Kreuzheben;50;9;60;7;60;6
27-02-2025;Beinpresse;110;9;120;7;130;6
27-02-2025;Beinstreck Maschine;72;9;80;7;87;6
27-02-2025;Beinbeug sitz;53;8;57;7;65;5
27-02-2025;Waden stehn;95;9;105;8;105;6
28-02-2025;Latzug;70;8;80;6;80;5
28-02-2025;Butterfly;13;9;16;7;16;6
28-02-2025;Breit Rudern;40;9;40;8;45;7
28-02-2025;Brust Presse;25;9;30;8;30;7
28-02-2025;Seitheben;8;8;10;7;10;6
28-02-2025;Überkopf Trizeps;17;9;21;8;21;6
28-02-2025;Hammer Curls;10;9;12;8;12;6
01-03-2025;Squats;45;8;45;6;45;6
01-03-2025;Hip Thrusts;45;8;45;6;;
01-03-2025;Beinstreck frei;25;8;30;9;30;7
01-03-2025;Beinbeug sitz;65;9;65;8;;
03-03-2025;Kreuzheben;50;8;60;7;;
03-03-2025;Beinpresse;80;9;82;8;85;7
03-03-2025;Beinbeug sitz;57;9;57;8;;
03-03-2025;Beinstreck Maschine;72;8;80;7;87;6
03-03-2025;Waden stehn;105;8;105;8;;
02-03-2025;LH Rudern;40;9;40;7;40;6
02-03-2025;Überzüge;27;9;27;8;27;7
02-03-2025;Butterfly;50;9;50;8;54;7
02-03-2025;Brust Presse;30;9;30;8;35;7
02-03-2025;Schulterdrücken;22;8;22;8;22;5
02-03-2025;Pulldown;21;9;21;9;23;6
02-03-2025;Curls;12;8;12;7;;
04-03-2025;Latzug;80;7;80;6;80;6
04-03-2025;Breit Rudern;40;7;42;6;42;6
04-03-2025;Butterfly;30;8;37;7;37;5
04-03-2025;Brust Presse;20;9;35;8;40;5
04-03-2025;Seitheben;10;6;10;7;10;7
04-03-2025;Überkopf Trizeps;21;9;21;8;21;6
04-03-2025;Hammer Curls;12;8;12;8;14;6
05-03-2025;Beinpresse;120;8;120;7;120;7
05-03-2025;Beinbeug sitz;55;8;55;7;;
05-03-2025;Beinstreck frei;30;8;30;7;30;7
06-03-2025;LH Rudern;40;9;40;8;40;7
06-03-2025;Eng Rudern;45;9;60;7;;
06-03-2025;Butterfly;52;8;57;7;57;6
06-03-2025;Brust Presse;30;9;35;8;37;6
06-03-2025;Schulterdrücken;20;8;20;8;20;8
07-03-2025;Beinpresse;87,5;8;95;9;95;7
04-03-2025;Beinstreck frei;25;9;35;9;35;11
07-03-2025;Beinbeug stehn;15;8;20;7;30;6
07-03-2025;Waden;105;8;105;8;;
09-03-2025;Latzug;80;8;80;5;70;7
09-03-2025;Breit Rudern;40;8;45;7;45;6
09-03-2025;Butterfly;37;9;45;8;45;5
09-03-2025;Brust Presse;35;8;40;6;40;8
