exercise,muscle_group
Bauch,Core
Beinbeug,Hamstrings
Beinbeug sitz,Hamstrings
Beinbeug ste,Hamstrings
Beinbeug steh,Hamstrings
Beinbeug stehn,Hamstrings
Beinpresse,Quadrizeps
Beinstreck,Quadrizeps
Beinstreck Maschine,Quadrizeps
Beinstreck duo,Quadrizeps
Beinstreck frei,Quadrizeps
Bizeps,Bizeps
Breit Rudern,Rücken (oberer)
Brust Presse,Brust
Butterfly,Brust
Butterfly unten,Brust
Curl,Bizeps
Curl Kabel,Bizeps
Curls,Bizeps
Curls Hammer,Bizeps
Eg Rudern,Latissimus
Eng Rudern,Latissimus
Hammer,Bizeps
Hammer Curls,Bizeps
Hip Thrusts,Gluteus
Hipthrust,Gluteus
Kickback,Trizeps
Kickback Trizeps,Trizeps
Kreuzheben,Hamstrings
LH Rudern,Latissimus
Lat,Latissimus
Lat Zug,Latissimus
Latzug,Latissimus
Latzug masch,Latissimus
Presse,Brust
Pull hinten,Trizeps
Pullback,Trizeps
Pulldown,Trizeps
Pulldown Trizeps,Trizeps
Rudern eng,Latissimus
Rückenmaschine,Rücken (oberer)
Schulter,Schultern
SchulterdrUeck,Schultern
Schulterdrück,Schultern
Schulterdrück masch,Schultern
Seitheben,Schultern
Squat,Quadrizeps
Squats,Quadrizeps
Ueberkopf,Trizeps
UeberzUege,Rücken (oberer)
Waden,Waden
Waden sitz,Waden
Waden stehn,Waden
Überkopf,Trizeps
Überkopf Trizeps,Trizeps
Überzüge,Rücken (oberer)
